Price,Year,Kilometer,Transmission,Owner,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
699000,2020,30777,0,0,1197.0,82.0,113.0,0.0,3655.0,1620.0,1675.0,5.0,32.0
740000,2016,60125,1,0,1591.0,122.0,154.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
470000,2020,2169,0,0,998.0,67.0,90.0,0.0,3565.0,1520.0,1564.0,5.0,27.0
765000,2015,60240,0,0,1197.0,103.0,153.0,0.0,4384.0,1699.0,1466.0,5.0,55.0
589000,2018,13772,0,0,1086.0,68.0,99.0,0.0,3610.0,1645.0,1560.0,5.0,35.0
999000,2019,27464,1,0,998.0,118.0,172.0,0.0,3995.0,1770.0,1605.0,5.0,45.0
370000,2019,47377,1,0,998.0,58.0,78.0,0.0,3545.0,1490.0,1475.0,4.0,60.0
325000,2013,23086,1,0,1197.0,85.0,113.0,0.0,3775.0,1680.0,1620.0,5.0,43.0
1175000,2019,36313,1,0,1591.0,122.0,154.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
351000,2014,39276,1,0,1198.0,87.0,109.0,0.0,3610.0,1680.0,1500.0,5.0,35.0
551000,2015,47752,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
819999,2018,27963,1,0,1199.0,89.0,110.0,0.0,3999.0,1734.0,1601.0,5.0,40.0
990000,2020,24013,1,0,998.0,118.0,172.0,0.0,3995.0,1770.0,1605.0,5.0,45.0
925000,2016,66000,0,0,1582.0,126.0,265.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
535000,2015,28000,1,0,999.0,124.0,170.0,0.0,3999.0,1765.0,1708.0,5.0,52.0
860000,2013,67000,0,0,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,4281.004012036108,1768.028585757272,1591.7537612838516,5.0,52.00735218508998
145000,2009,72000,1,1,1086.0,62.0,96.0,0.0,3565.0,1525.0,1590.0,5.0,35.0
409000,2018,27069,1,0,1199.0,84.0,114.0,0.0,3746.0,1647.0,1535.0,5.0,35.0
490000,2018,43000,1,0,1047.0,69.0,140.0,0.0,3992.0,1677.0,1537.0,5.0,35.0
1900000,2019,71000,1,0,2393.0,148.0,343.0,1.0,4735.0,1830.0,1795.0,8.0,55.0
3850000,2017,45600,0,1,2143.0,168.0,400.0,2.0,4656.0,1890.0,1639.0,5.0,66.0
1125000,2018,60000,1,0,1582.0,126.0,260.0,0.0,4270.0,1780.0,1665.0,5.0,55.0
2300000,2014,105101,0,0,2143.0,203.0,500.0,2.0,4804.0,2141.0,1796.0,5.0,70.0
1095000,2016,45000,0,0,1798.0,138.0,173.0,0.0,4620.0,1775.0,1475.0,5.0,55.0
1575000,2013,66000,0,0,1968.0,177.0,380.0,0.0,4701.0,1826.0,1427.0,5.0,63.0
2400000,2010,34105,0,0,1796.0,165.0,240.0,1.0,4082.0,1777.0,1297.0,2.0,70.0
525000,2015,68397,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
625000,2015,65000,1,1,2498.0,105.0,247.0,2.0,3920.0,1726.0,1930.0,6.0,60.0
605000,2019,27469,1,0,1197.0,83.0,115.0,0.0,3995.0,1745.0,1500.0,5.0,37.0
412000,2016,41058,0,0,998.0,67.0,90.0,0.0,3600.0,1600.0,1560.0,5.0,35.0
625000,2016,51330,1,0,1248.0,89.0,200.0,0.0,4490.0,1730.0,1485.0,5.0,43.0
511000,2015,45969,1,0,1373.0,91.0,130.0,0.0,4490.0,1730.0,1485.0,5.0,43.0
1150000,2017,66602,0,0,1582.0,126.0,265.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
885000,2016,57983,1,0,1591.0,122.0,154.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
470000,2019,11183,0,0,999.0,67.0,91.0,0.0,3679.0,1579.0,1478.0,5.0,28.0
1611000,2019,46301,1,0,1956.0,169.0,350.0,0.0,4655.0,1835.0,1760.0,5.0,60.0
475000,2017,34867,0,1,1199.0,84.0,114.0,0.0,3746.0,1647.0,1535.0,5.0,35.0
865000,2015,43634,1,0,2494.0,101.0,200.0,1.0,4585.0,1765.0,1760.0,7.0,55.0
3800000,2018,9512,0,0,1995.0,190.0,400.0,2.0,4657.0,1881.0,1678.0,5.0,67.0
2475000,2020,11293,0,0,1956.0,171.0,350.0,2.0,4395.0,1818.0,1640.0,5.0,60.0
400000,2014,78000,1,1,2179.0,120.0,290.0,1.0,4430.0,1817.0,1975.0,8.0,60.0
440000,2016,50374,1,0,1198.0,87.0,109.0,0.0,3610.0,1680.0,1500.0,5.0,35.0
2800000,2017,15900,0,0,1998.0,181.0,270.0,1.0,4633.0,1811.0,1429.0,5.0,57.0
645000,2017,64000,1,0,1497.0,117.0,145.0,0.0,4440.0,1695.0,1495.0,5.0,40.0
365000,2013,78000,1,0,1199.0,74.0,180.0,0.0,3970.0,1682.0,1453.0,5.0,45.0
1044999,2021,24000,1,0,1462.0,103.0,138.0,0.0,3995.0,1790.0,1640.0,5.0,48.0
515000,2019,40310,1,1,1196.0,73.0,101.0,1.0,3675.0,1475.0,1800.0,7.0,40.0
455000,2015,69700,0,0,1197.0,79.0,112.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
1800000,2012,74073,0,0,1995.0,184.0,380.0,2.0,4648.0,1881.0,1661.0,5.0,67.0
3499000,2019,73000,0,0,2755.0,174.0,450.0,1.0,4795.0,1855.0,1835.0,7.0,80.0
190000,2006,130000,1,2,1799.0,130.0,171.0,0.0,4545.0,1750.0,1450.0,5.0,50.0
1250000,2012,50000,0,0,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,4281.004012036108,1768.028585757272,1591.7537612838516,5.0,52.00735218508998
775000,2021,24000,0,0,1197.0,89.0,113.0,0.0,3845.0,1735.0,1530.0,5.0,37.0
825000,2021,43000,1,0,1493.0,99.0,240.0,0.0,3995.0,1775.0,1505.0,5.0,37.0
2250000,2016,40500,0,0,1968.0,141.0,320.0,0.0,4456.0,1796.0,1416.0,5.0,50.0
865000,2017,49013,0,0,1497.0,117.0,145.0,0.0,4440.0,1695.0,1495.0,5.0,40.0
299000,2013,64983,1,0,1399.0,68.0,160.0,0.0,3795.0,1680.0,1427.0,5.0,45.0
570000,2017,92270,1,0,1199.0,89.0,110.0,0.0,3955.0,1694.0,1544.0,5.0,40.0
385000,2013,65000,1,0,1198.0,74.0,110.0,0.0,3970.0,1682.0,1453.0,5.0,45.0
350000,2014,110000,1,0,1498.0,99.0,200.0,0.0,3990.0,1680.0,1505.0,5.0,35.0
2345000,2017,47000,0,0,2494.0,179.0,233.0,0.0,4825.0,1825.0,1480.0,5.0,70.0
1650000,2022,10000,0,0,1997.0,150.0,320.0,2.0,3985.0,1820.0,1844.0,4.0,57.0
1100000,2011,51500,0,1,2143.0,207.0,500.0,1.0,4596.0,1770.0,1447.0,5.0,66.0
2900000,2018,35000,0,0,1968.0,184.0,380.0,2.0,4385.0,1831.0,1608.0,5.0,64.0
545000,2017,61518,1,0,1197.0,83.0,115.0,0.0,3995.0,1745.0,1500.0,5.0,37.0
2990000,2018,34000,0,0,1995.0,184.0,350.0,1.0,4454.0,2044.0,1545.0,5.0,63.0
615000,2017,36058,1,0,1197.0,83.0,115.0,0.0,3995.0,1745.0,1500.0,5.0,37.0
890000,2016,88000,0,0,1582.0,126.0,265.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
430000,2015,98112,1,0,1598.0,103.0,153.0,0.0,4384.0,1699.0,1466.0,5.0,55.0
1650000,2013,58000,0,0,2143.0,170.0,400.0,1.0,4596.0,1770.0,1447.0,5.0,66.0
1599000,2015,92355,0,0,2494.0,202.0,270.0,0.0,4825.0,1825.0,1480.0,5.0,65.0
691000,2019,16652,1,0,1197.0,89.0,113.0,0.0,3995.0,1735.0,1515.0,5.0,37.0
650000,2016,76584,1,0,1461.0,108.0,248.0,0.0,4331.0,1822.0,1671.0,5.0,50.0
415000,2015,42500,1,0,998.0,58.0,77.0,0.0,3599.0,1495.0,1700.0,5.0,35.0
669000,2016,70000,1,0,1248.0,89.0,200.0,0.0,3995.0,1790.0,1640.0,5.0,48.0
2950000,2015,84700,0,1,2993.0,258.0,560.0,2.0,4886.0,1938.0,1762.0,5.0,52.00735218508998
3900000,2018,83400,0,1,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,4281.004012036108,1768.028585757272,1591.7537612838516,5.0,52.00735218508998
16200000,2022,2766,0,0,2995.0,335.0,450.0,2.0,4931.0,1983.0,1676.0,4.0,75.0
5100000,2017,56000,0,1,1991.0,241.0,370.0,1.0,4686.0,1810.0,1409.0,4.0,59.0
525000,2015,68766,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
750000,2018,16339,1,0,1591.0,121.0,158.0,0.0,4375.0,1700.0,1475.0,5.0,43.0
445000,2016,63882,1,0,1198.0,87.0,109.0,0.0,3990.0,1680.0,1505.0,5.0,35.0
493000,2012,28732,1,0,1798.0,138.0,173.0,0.0,4540.0,1760.0,1480.0,5.0,55.0
611000,2017,51349,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
475000,2014,61866,0,0,1197.0,79.0,112.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
925000,2017,29401,1,0,1591.0,122.0,154.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
1325000,2012,98580,0,0,1968.0,177.0,380.0,0.0,4915.0,1874.0,1455.0,5.0,65.0
3900000,2021,8000,0,0,1995.0,184.0,350.0,1.0,4454.0,2044.0,1545.0,5.0,63.0
1299000,2020,31348,1,0,1497.0,115.0,300.0,0.0,3995.0,1821.0,1627.0,5.0,42.0
580000,2018,28851,1,0,1248.0,74.0,190.0,0.0,3840.0,1735.0,1530.0,5.0,37.0
229000,2013,38175,1,0,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,4281.004012036108,1768.028585757272,1591.7537612838516,5.0,52.00735218508998
1575000,2021,8519,1,0,1997.0,150.0,300.0,2.0,3985.0,1820.0,1844.0,4.0,57.0
375000,2011,78000,1,0,1497.0,118.0,146.0,0.0,4420.0,1695.0,1480.0,5.0,42.0
2250000,2015,48000,0,0,2143.0,204.0,500.0,1.0,4879.0,1854.0,1474.0,5.0,80.0
1400000,2014,143000,0,1,2982.0,169.0,360.0,1.0,4705.0,1840.0,1850.0,7.0,80.0
425000,2017,39000,1,0,1248.0,74.0,190.0,0.0,3995.0,1706.0,1570.0,5.0,44.0
425000,2014,24000,0,1,1598.0,104.0,153.0,0.0,4386.0,1699.0,1466.0,5.0,55.0
250000,2015,62000,1,1,796.0,47.0,69.0,0.0,3395.0,1490.0,1475.0,5.0,35.0
425000,2012,78000,1,1,1248.0,89.0,200.0,0.0,4265.0,1695.0,1685.0,7.0,45.0
120000,2009,48500,1,4,1086.0,63.0,89.0,0.0,3565.0,1525.0,1590.0,5.0,35.0
235000,2014,82000,1,1,1399.0,68.0,160.0,0.0,3795.0,1680.0,1427.0,5.0,45.0
3050000,2020,40910,0,0,1968.0,141.0,320.0,0.0,4456.0,1796.0,1416.0,5.0,50.0
2145000,2020,10290,1,0,1956.0,168.0,350.0,0.0,4598.0,1894.0,1706.0,5.0,50.0
1245000,2021,10530,0,0,998.0,118.0,172.0,0.0,3995.0,1775.0,1505.0,5.0,37.0
549000,2015,61900,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
484999,2013,78000,1,1,1199.0,74.0,180.0,0.0,3970.0,1682.0,1453.0,5.0,45.0
415000,2014,57402,1,0,1197.0,85.0,114.0,0.0,3995.0,1695.0,1555.0,5.0,42.0
200000,2013,57000,1,0,1086.0,62.0,96.0,0.0,3565.0,1525.0,1590.0,5.0,35.0
375000,2015,87500,1,0,1197.0,81.0,114.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
1375000,2021,16000,0,0,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,3993.0,1811.0,1606.0,5.0,52.00735218508998
1875000,2022,18000,0,0,1353.0,138.0,242.0,0.0,4300.0,1790.0,1635.0,5.0,50.0
2950000,2020,10700,0,0,1984.0,188.0,320.0,2.0,4318.0,1805.0,1548.0,5.0,55.0
4900000,2018,78000,0,0,2967.0,245.0,600.0,2.0,5052.0,1968.0,1740.0,7.0,75.0
1050000,2020,16282,0,0,998.0,118.0,172.0,0.0,3995.0,1775.0,1505.0,5.0,37.0
470000,2013,66000,1,2,1582.0,126.0,260.0,0.0,4370.0,1700.0,1475.0,5.0,43.0
345000,2017,72019,1,1,998.0,67.0,90.0,0.0,3599.0,1495.0,1700.0,5.0,35.0
1490000,2013,195000,0,0,1995.0,184.0,380.0,1.0,4899.0,2094.0,1464.0,5.0,52.00735218508998
550000,2007,92170,1,1,2609.0,116.0,277.0,1.0,4495.0,1817.0,1975.0,7.0,60.0
484999,2018,55221,1,0,1197.0,81.0,114.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
3350000,2018,25000,0,0,2755.0,174.0,450.0,1.0,4795.0,1855.0,1835.0,7.0,80.0
210000,2011,58888,1,1,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,4281.004012036108,1768.028585757272,1591.7537612838516,5.0,52.00735218508998
5651000,2022,1,0,3,1984.0,248.0,370.0,2.0,4663.0,1898.0,1659.0,5.0,70.0
890000,2020,23500,1,0,1498.0,105.0,142.0,0.0,4360.0,1822.0,1695.0,5.0,50.0
325000,2012,68000,1,1,1197.0,85.0,114.0,0.0,3995.0,1695.0,1555.0,5.0,42.0
1390000,2019,29096,0,0,1591.0,122.0,151.0,0.0,4270.0,1780.0,1665.0,5.0,55.0
459999,2016,61223,1,0,1197.0,81.0,114.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
1075000,2017,86000,1,0,1956.0,171.0,350.0,0.0,4395.0,1818.0,1640.0,5.0,60.0
484999,2013,87000,1,0,1582.0,126.0,260.0,0.0,4440.0,1729.0,1475.0,5.0,45.0
385000,2013,79287,1,0,1197.0,83.0,113.0,0.0,3995.0,1710.0,1505.0,5.0,45.0
4400000,2018,47009,0,1,1692.8003033367038,129.63953488372093,245.8695652173913,0.0,4281.004012036108,1768.028585757272,1591.7537612838516,5.0,52.00735218508998
3900000,2018,48945,0,0,1968.0,190.0,400.0,0.0,4933.0,1874.0,1455.0,5.0,75.0
1050000,2019,17000,1,0,1497.0,121.0,300.0,0.0,4585.0,1866.0,1774.0,8.0,45.0
1575000,2019,55000,1,0,1493.0,113.0,250.0,0.0,4315.0,1800.0,1645.0,5.0,50.0
655000,2016,38779,1,0,1197.0,83.0,115.0,0.0,3995.0,1745.0,1500.0,5.0,37.0
4500000,2019,72000,0,0,1950.0,192.0,400.0,1.0,5063.0,1860.0,1494.0,5.0,80.0
865000,2016,67000,1,0,1248.0,89.0,200.0,0.0,4296.0,1695.0,1685.0,7.0,45.0
699000,2017,67000,1,0,1591.0,121.0,158.0,0.0,4370.0,1700.0,1475.0,5.0,43.0
425000,2012,70000,1,1,1582.0,126.0,260.0,0.0,4370.0,1700.0,1475.0,5.0,43.0
6500000,2020,6000,0,0,1999.0,177.0,430.0,2.0,4600.0,2069.0,1724.0,7.0,70.0
2900000,2017,46000,0,0,2755.0,174.0,450.0,1.0,4795.0,1855.0,1835.0,7.0,80.0
4550000,2017,34000,0,0,2143.0,201.0,500.0,2.0,4819.0,2141.0,1796.0,5.0,93.0
490000,2015,23103,1,0,1197.0,81.0,114.0,0.0,3995.0,1660.0,1520.0,5.0,43.0
11500000,2016,27000,0,0,4663.0,453.0,700.0,1.0,5453.0,1899.0,1498.0,4.0,70.0
1475000,2019,9576,0,0,1591.0,122.0,151.0,0.0,4270.0,1780.0,1665.0,5.0,55.0
1729000,2020,27000,0,0,1451.0,141.0,250.0,0.0,4655.0,1835.0,1760.0,5.0,60.0
1764999,2021,1942,0,0,1498.0,108.0,144.0,0.0,4323.0,1809.0,1650.0,5.0,48.0
250000,2006,119300,0,2,2354.0,152.0,215.0,2.0,4630.0,1780.0,1710.0,5.0,58.0
245000,2016,55000,1,0,796.0,47.0,69.0,0.0,3395.0,1490.0,1475.0,5.0,35.0
490000,2015,98000,1,1,1461.0,84.0,200.0,0.0,4315.0,1822.0,1695.0,5.0,50.0
550000,2017,61400,1,0,1197.0,81.0,114.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
675000,2016,87693,1,0,1497.0,117.0,145.0,0.0,4440.0,1695.0,1495.0,5.0,40.0
2225000,2015,31000,0,0,1991.0,181.0,300.0,1.0,4686.0,1810.0,1442.0,5.0,66.0
560000,2016,75210,1,0,1396.0,89.0,220.0,0.0,3985.0,1734.0,1505.0,5.0,40.0
225000,2012,69000,1,0,1598.0,105.0,153.0,0.0,4000.0,1642.0,1522.0,5.0,45.0
499000,2014,88000,0,1,1498.0,103.0,250.0,0.0,4386.0,1699.0,1466.0,5.0,55.0
1055000,2020,15000,0,0,998.0,118.0,172.0,0.0,3995.0,1790.0,1647.0,5.0,45.0
2048999,2020,45350,0,0,2179.0,153.0,360.0,0.0,4585.0,1890.0,1785.0,7.0,70.0
2775000,2018,68189,0,0,1995.0,188.0,400.0,1.0,4633.0,1811.0,1429.0,5.0,57.0
1650000,2015,75000,0,0,2143.0,134.0,300.0,0.0,4417.0,1804.0,1494.0,5.0,50.0
350000,2013,45000,1,0,998.0,68.0,90.0,0.0,3539.0,1495.0,1700.0,5.0,35.0
1450000,2014,33000,0,1,1968.0,177.0,380.0,0.0,4915.0,1874.0,1455.0,5.0,65.0
600000,2014,83000,1,1,2179.0,120.0,290.0,1.0,4430.0,1817.0,1975.0,8.0,60.0
1250000,2012,78000,0,0,1995.0,184.0,380.0,1.0,4899.0,2094.0,1464.0,5.0,52.00735218508998
1675000,2014,211000,1,0,2982.0,169.0,343.0,2.0,4705.0,1840.0,1850.0,7.0,80.0
575000,2015,67000,1,0,1197.0,82.0,115.0,0.0,3985.0,1734.0,1505.0,5.0,45.0
699000,2017,75000,1,0,1498.0,99.0,205.0,0.0,3999.0,1765.0,1708.0,5.0,52.0
2450000,2014,48600,0,1,2967.0,241.0,550.0,2.0,5089.0,1983.0,1737.0,6.0,100.0
2775000,2016,48000,0,0,2143.0,204.0,500.0,1.0,4686.0,1810.0,1442.0,5.0,66.0
430000,2020,5790,1,0,998.0,67.0,90.0,0.0,3565.0,1520.0,1564.0,5.0,27.0
1165000,2018,32000,1,0,2179.0,120.0,280.0,1.0,4456.0,1820.0,1995.0,7.0,60.0
1780000,2020,65433,1,0,1956.0,169.0,350.0,0.0,4655.0,1835.0,1760.0,5.0,60.0
295000,2011,87230,1,0,1248.0,75.0,190.0,0.0,3760.0,1690.0,1530.0,5.0,43.0
495000,2017,38258,1,1,1248.0,74.0,190.0,0.0,3840.0,1735.0,1530.0,5.0,37.0
975000,2019,56881,1,0,1497.0,117.0,145.0,0.0,4440.0,1695.0,1495.0,5.0,40.0
645000,2013,76000,1,1,2494.0,102.0,200.0,0.0,4555.0,1770.0,1755.0,7.0,55.0
425000,2014,72000,1,1,1461.0,108.0,248.0,0.0,4315.0,1822.0,1695.0,5.0,50.0
1350000,2012,72000,0,3,1968.0,174.0,380.0,2.0,4385.0,1831.0,1608.0,5.0,64.0
3200000,2014,60514,0,0,2987.0,234.0,535.0,2.0,4781.0,1911.0,1774.0,5.0,95.0
1250000,2013,71141,0,0,1984.0,150.0,350.0,0.0,4370.0,1783.0,1458.0,5.0,60.0
5600000,2018,40937,0,0,2993.0,258.0,560.0,1.0,4899.0,2094.0,1464.0,5.0,65.0
560000,2013,37000,1,0,1248.0,74.0,190.0,0.0,3995.0,1695.0,1555.0,5.0,42.0
1221000,2019,46000,1,0,2179.0,120.0,280.0,1.0,4456.0,1820.0,1995.0,7.0,60.0
2975000,2015,86999,0,0,2993.0,258.0,560.0,2.0,4886.0,1938.0,1762.0,5.0,52.00735218508998
295000,2009,70200,0,1,1497.0,118.0,146.0,0.0,4420.0,1695.0,1480.0,5.0,42.0
1300000,2012,64800,0,0,1796.0,186.0,285.0,1.0,4596.0,1770.0,1447.0,5.0,66.0
950000,2016,73000,0,0,1582.0,126.0,265.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
1350000,2012,72000,0,1,2987.0,231.0,540.0,1.0,4868.0,1854.0,1471.0,5.0,80.0
2682000,2015,76345,0,0,2997.0,254.0,619.0,2.0,4804.0,2141.0,1796.0,5.0,70.0
286000,2017,40564,1,0,796.0,47.0,69.0,0.0,3395.0,1490.0,1475.0,5.0,35.0
340000,2013,98500,1,0,1336.0,89.0,219.0,0.0,3995.0,1710.0,1505.0,5.0,45.0
1125000,2020,46807,0,0,999.0,109.0,175.0,0.0,4413.0,1699.0,1466.0,5.0,55.0
580000,2018,81000,0,0,1198.0,108.0,170.0,0.0,3994.0,1811.0,1607.0,5.0,44.0
495000,2015,13716,1,0,1197.0,85.0,114.0,0.0,3995.0,1695.0,1555.0,5.0,42.0
550000,2014,89000,1,0,1248.0,74.0,190.0,0.0,3995.0,1695.0,1555.0,5.0,42.0
1485000,2021,13000,0,0,1493.0,113.0,250.0,0.0,3995.0,1790.0,1647.0,5.0,45.0
885000,2018,38000,1,0,1598.0,104.0,153.0,0.0,4413.0,1699.0,1466.0,5.0,55.0
3650000,2012,25500,0,1,4163.0,444.0,430.0,2.0,4649.0,1860.0,1366.0,5.0,64.0
715000,2020,17000,0,0,1197.0,82.0,114.0,0.0,3805.0,1680.0,1520.0,5.0,37.0
2485000,2012,44724,0,0,3496.0,272.0,350.0,2.0,5157.0,2183.0,1659.0,7.0,80.0
2250000,2020,24549,1,1,2393.0,148.0,343.0,1.0,4735.0,1830.0,1795.0,7.0,55.0
1050000,2017,97000,0,0,1582.0,126.0,265.0,0.0,4270.0,1780.0,1630.0,5.0,60.0
3600000,2018,7800,0,0,2755.0,174.0,450.0,1.0,4795.0,1855.0,1835.0,7.0,80.0
295000,2010,78000,1,0,1497.0,118.0,146.0,0.0,4420.0,1695.0,1480.0,5.0,42.0
375000,2019,55000,1,0,799.0,53.0,72.0,0.0,3679.0,1579.0,1478.0,5.0,28.0
7200000,2021,20000,0,3,1984.0,180.0,320.0,0.0,4915.0,1874.0,1455.0,5.0,75.0
2395000,2021,13594,0,0,1956.0,168.0,350.0,0.0,4661.0,1894.0,1786.0,6.0,50.0
1775000,2014,75000,0,0,1968.0,177.0,380.0,0.0,4915.0,1874.0,1455.0,5.0,65.0
275000,2011,65000,1,0,1248.0,75.0,190.0,0.0,3715.0,1680.0,1620.0,5.0,43.0
325000,2014,43037,1,0,1198.0,87.0,109.0,0.0,3610.0,1680.0,1500.0,5.0,35.0
425000,2013,26000,1,0,1248.0,74.0,190.0,0.0,3850.0,1695.0,1530.0,5.0,42.0
1475000,2020,78000,1,0,2179.0,140.0,320.0,1.0,4456.0,1820.0,1995.0,7.0,60.0
1580000,2018,115000,0,0,2755.0,172.0,360.0,1.0,4735.0,1830.0,1795.0,7.0,55.0
869000,2021,8700,0,0,1199.0,89.0,110.0,0.0,3995.0,1695.0,1501.0,5.0,35.0
5850000,2019,31000,0,0,2143.0,201.0,500.0,2.0,4819.0,2141.0,1796.0,5.0,93.0
1900000,2020,41736,0,0,1956.0,171.0,350.0,2.0,4395.0,1818.0,1640.0,5.0,60.0
9000000,2017,40000,0,1,2979.0,275.0,600.0,2.0,5005.0,1981.0,1693.0,5.0,80.0
3550000,2020,55000,0,0,2755.0,174.0,450.0,1.0,4795.0,1855.0,1835.0,7.0,80.0
3500000,2014,160000,0,0,4806.0,500.0,700.0,2.0,4846.0,1939.0,1702.0,5.0,100.0
2425000,2022,11000,0,0,2393.0,148.0,360.0,1.0,4735.0,1830.0,1795.0,7.0,55.0
5811000,2018,24690,0,0,2993.0,258.0,560.0,2.0,4886.0,1938.0,1762.0,7.0,52.00735218508998
750000,2011,117000,1,1,2982.0,171.0,343.0,2.0,4695.0,1840.0,1850.0,7.0,80.0
2200000,2014,95000,0,0,2967.0,241.0,550.0,2.0,5089.0,1983.0,1737.0,7.0,100.0
520000,2019,76000,1,0,998.0,58.0,78.0,0.0,3655.0,1620.0,1675.0,5.0,60.0
390000,2018,18000,1,0,998.0,67.0,90.0,0.0,3545.0,1490.0,1475.0,5.0,35.0
540000,2015,38000,1,0,1373.0,91.0,130.0,0.0,4490.0,1730.0,1485.0,5.0,43.0
699000,2018,43000,0,0,1248.0,74.0,190.0,0.0,3840.0,1735.0,1530.0,5.0,37.0
484999,2013,107000,1,0,1582.0,126.0,260.0,0.0,4370.0,1700.0,1475.0,5.0,43.0
7500000,2021,13000,0,0,2996.0,362.0,520.0,1.0,4702.0,1810.0,1434.0,4.0,66.0
850000,2011,85000,0,1,2143.0,203.0,500.0,1.0,4868.0,1854.0,1471.0,5.0,90.0
1085000,2018,8922,0,0,1198.0,108.0,170.0,0.0,3994.0,1811.0,1607.0,5.0,44.0
319000,2013,47800,1,0,796.0,47.0,69.0,0.0,3395.0,1490.0,1475.0,5.0,35.0
549000,2012,143000,1,0,2179.0,140.0,330.0,0.0,4585.0,1890.0,1785.0,7.0,70.0
1725000,2019,68758,1,0,1956.0,138.0,350.0,0.0,4598.0,1894.0,1706.0,5.0,50.0
475000,2015,72000,1,1,1498.0,99.0,200.0,0.0,4386.0,1683.0,1603.0,7.0,42.0
890000,2022,7500,1,0,1199.0,84.0,113.0,0.0,3827.0,1742.0,1615.0,5.0,37.0
235000,2012,37000,1,1,998.0,68.0,90.0,0.0,3539.0,1495.0,1700.0,5.0,35.0
445000,2016,22402,1,0,1197.0,81.0,114.0,0.0,3765.0,1660.0,1520.0,5.0,43.0
1060000,2019,12382,1,0,1497.0,117.0,145.0,0.0,4440.0,1695.0,1495.0,5.0,40.0
690000,2017,61000,1,0,1248.0,74.0,190.0,0.0,3995.0,1745.0,1500.0,5.0,37.0
